Date,Day,Tag,Country,Value
2014-12-18,271,Cases,UnitedStates,0
2014-12-18,271,Deaths,Guinea,0
2014-12-18,271,Deaths,Liberia,3376
2014-12-18,271,Deaths,Mali,0
2014-12-18,271,Deaths,Nigeria,0
2014-12-18,271,Deaths,Senegal,0
2014-12-18,271,Deaths,SierraLeone,0
2014-12-18,271,Deaths,Spain,0
2014-12-18,271,Deaths,UnitedStates,0
2014-12-20,272,Cases,Guinea,2571
2014-12-20,272,Cases,Liberia,7862
2014-12-20,272,Cases,Mali,0
2014-12-20,272,Cases,Nigeria,0
2014-12-20,272,Cases,Senegal,0
2014-12-20,272,Cases,SierraLeone,8939
2014-12-20,272,Cases,Spain,0
2014-12-20,272,Cases,UnitedStates,0
2014-12-20,272,Deaths,Guinea,1586
2014-12-20,272,Deaths,Liberia,3384
2014-12-20,272,Deaths,Mali,0
2014-12-20,272,Deaths,Nigeria,0
2014-12-20,272,Deaths,Senegal,0
2014-12-20,272,Deaths,SierraLeone,2556
2014-12-20,272,Deaths,Spain,0
2014-12-20,272,Deaths,UnitedStates,0
2014-12-21,273,Cases,Guinea,2597
2014-12-21,273,Cases,Liberia,0
2014-12-21,273,Cases,Mali,0
2014-12-21,273,Cases,Nigeria,0
2014-12-21,273,Cases,Senegal,0
2014-12-21,273,Cases,SierraLeone,9004
2014-12-21,273,Cases,Spain,0
2014-12-21,273,Cases,UnitedStates,0
2014-12-21,273,Deaths,Guinea,1607
2014-12-21,273,Deaths,Liberia,0
2014-12-21,273,Deaths,Mali,0
2014-12-21,273,Deaths,Nigeria,0
2014-12-21,273,Deaths,Senegal,0
2014-12-21,273,Deaths,SierraLeone,2582
2014-12-21,273,Deaths,Spain,0
2014-12-21,273,Deaths,UnitedStates,0
2014-12-24,277,Cases,Guinea,2630
2014-12-24,277,Cases,Liberia,7977
2014-12-24,277,Cases,Mali,0
2014-12-24,277,Cases,Nigeria,0
2014-12-24,277,Cases,Senegal,0
2014-12-24,277,Cases,SierraLeone,9203
2014-12-24,277,Cases,Spain,0
2014-12-24,277,Cases,UnitedStates,0
2014-12-24,277,Deaths,Guinea,0
2014-12-24,277,Deaths,Liberia,3413
2014-12-24,277,Deaths,Mali,0
2014-12-24,277,Deaths,Nigeria,0
2014-12-24,277,Deaths,Senegal,0
2014-12-24,277,Deaths,SierraLeone,2655
2014-12-24,277,Deaths,Spain,0
2014-12-24,277,Deaths,UnitedStates,0
2014-12-27,280,Cases,Guinea,2695
2014-12-27,280,Cases,Liberia,0
2014-12-27,280,Cases,Mali,0
2014-12-27,280,Cases,Nigeria,0
2014-12-27,280,Cases,Senegal,0
2014-12-27,280,Cases,SierraLeone,9409
2014-12-27,280,Cases,Spain,0
2014-12-27,280,Cases,UnitedStates,0
2014-12-27,280,Deaths,Guinea,1697
2014-12-27,280,Deaths,Liberia,0
2014-12-27,280,Deaths,Mali,0
2014-12-27,280,Deaths,Nigeria,0
2014-12-27,280,Deaths,Senegal,0
2014-12-27,280,Deaths,SierraLeone,2732
2014-12-27,280,Deaths,Spain,0
2014-12-27,280,Deaths,UnitedStates,0
2014-12-28,281,Cases,Guinea,2706
2014-12-28,281,Cases,Liberia,8018
2014-12-28,281,Cases,Mali,0
2014-12-28,281,Cases,Nigeria,0
